genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G001915265	4	4.0	1.0	3.130711290761413e-26	7.252124557811791e-19	8.222182351649912e-35	5.0622479087255165e-23	1.0	9.594612681609765e-19	3.9858738253981865e-20	1.611783250539834e-14	1.1547214295859476e-09	4.645667056883858e-14	2.572881212009777e-15	3.6487002994163055e-18	2.4859021184012724e-25	2.895651959095927e-21	1.43261713256293e-11
G000347015	14	14.0	1.0	1.66845876088822e-18	1.9520087608044702e-42	7.556826146379352e-34	7.2392942900046e-28	4.688708188936209e-25	5.781778921321402e-22	2.101165019752216e-09	1.60448435608141e-35	1.350252305406421e-18	2.2472097480985522e-36	1.7075052483050968e-09	1.9960998132173557e-10	3.502929155198229e-18	2.3666510827868978e-17	1.0
G000024285	5	5.0	1.0	8.969038119689102e-16	4.7822221025719203e-26	5.264009501897525e-29	4.0236778171222247e-23	3.967322564218945e-12	1.0	7.552787779121654e-20	4.930750736137117e-19	4.143747627146053e-37	1.530451554579082e-17	3.812493076793544e-08	1.8508533871112662e-14	8.392493166559134e-24	3.931004221181159e-18	3.6132657948297003e-20
G000444875	1	1.0	1.0	1.1416602796608577e-39	1.0	7.866655519714161e-31	2.7234395402177753e-38	2.909844715362331e-23	2.016069373958308e-21	1.401298464324817e-43	7.399767501279421e-32	0.0	1.6680502359497182e-27	1.4097924674641174e-27	1.3263276169254503e-29	5.416018564615418e-42	1.725088584148964e-34	1.039606730340454e-35
G900116665	6	6.0	1.0	3.1426641727029713e-34	0.0	4.4769683888849756e-32	1.049695390425536e-30	5.0494210897481355e-31	5.237444232348602e-31	1.0	5.386207341085372e-38	3.752665063296364e-33	3.645208349241898e-33	4.788094879269939e-28	1.385303988737585e-16	3.665214551190005e-27	1.1526534661134859e-39	4.528329240045567e-30
G001793575	12	12.0	1.0	1.6223975673026315e-24	3.7983161210945165e-35	1.220552863040355e-35	1.4281529354029442e-27	2.279971170194408e-20	5.454212537645885e-30	2.3545620239151425e-28	1.8591785793208307e-33	1.2997036960858938e-34	8.791015432655466e-35	1.6723661864068197e-24	2.934397091521342e-26	1.0	3.8153814521680752e-34	2.12783448019065e-21
G000999305	12	12.0	1.0	9.73599998364827e-13	7.796711194094462e-25	3.6684233014702616e-24	6.559486141612754e-16	7.355249243360935e-16	9.152819111126566e-22	3.875365323484821e-17	2.92571376673688e-25	8.180202076544623e-19	1.5027537711551017e-22	9.996190717352898e-15	2.356146944215709e-10	1.0	1.9524125977823874e-18	1.4990299279649122e-10
G001295265	6	6.0	1.0	4.273228910323902e-30	1.401298464324817e-45	1.6106339971690017e-29	2.6806548698185607e-30	1.3932449255301909e-28	1.0369528210140347e-28	1.0	8.815077275799406e-31	8.437232229507386e-26	7.473851771149867e-36	5.204201180366458e-25	1.0808094328372542e-13	1.5137794918409091e-27	1.5614289826644146e-32	8.394203006793983e-21
G000012645	14	14.0	1.0	2.5417153902028728e-21	5.074341871205995e-34	1.0823268807295805e-22	2.286907764235713e-25	3.6079795401322556e-11	6.291791631966859e-13	3.4616962696139923e-18	2.976872411532413e-16	7.586620845705539e-15	2.0026895419800184e-10	8.617198209333321e-13	1.2005163302266503e-13	5.243317446890217e-10	2.7576794065517843e-14	1.0
G001316435	3	3.0	1.0	1.5080110042493788e-26	1.4413845687146785e-38	8.93298098591567e-16	1.0	7.741187248513914e-14	1.6596690244341517e-08	1.0817476794538758e-17	1.7984273432865066e-18	1.4864349250974613e-24	1.0195005185619129e-17	5.71760114297451e-15	3.7153958430896986e-14	5.5022561451457865e-15	7.785304811340889e-16	2.188736525354784e-09
G001456215	2	2.0	1.0	1.2191296639625909e-43	1.401298464324817e-45	1.0	1.559630764694977e-25	2.0392387200657545e-25	2.5652848087805635e-16	4.9987549298283115e-36	2.1789146784632198e-24	3.9983826315669724e-17	3.147444886849468e-23	6.104781596669255e-34	6.447588593662734e-27	1.0521181687482783e-35	5.626242873995347e-26	6.681731443208363e-35
G001821685	0	0.0	1.0	1.0	9.75455288437326e-35	1.401298464324817e-45	7.052816872252468e-36	2.8932743383342773e-31	2.4474587962915356e-37	9.272137005252374e-35	2.4150118177911186e-34	9.682972388484486e-43	1.238295021720598e-34	6.4381507665632586e-27	2.9216696772227214e-22	8.294327668670681e-19	4.066909692595197e-34	2.9082658891466215e-25
G900110215	13	13.0	1.0	1.3096143169901134e-24	8.477855709165143e-43	3.531272130098539e-43	2.942726775082116e-43	9.684566422555314e-17	1.3997031841813381e-33	2.2657411019309448e-37	0.0	5.363243982890788e-38	4.4254415485180935e-29	3.2266721631679464e-38	4.739796177013003e-26	1.3563535698346526e-34	1.0	5.2292436401490175e-37
G000970165	13	13.0	1.0	3.6584851824824807e-25	3.042072850752537e-34	1.3327295585238704e-27	1.33273942811673e-20	6.370101221309717e-16	3.1559946875579984e-22	7.581679000719629e-21	1.8389905392840806e-26	2.646246617701517e-27	2.5065030307555372e-29	1.750085076857033e-10	2.073953884779499e-17	6.017481767946652e-25	1.0	1.1779509320546631e-15
G000622125	5	5.0	1.0	2.2584551087789892e-32	4.9900238314606736e-42	7.852490359339104e-12	7.484263859700024e-14	1.0033469788686305e-23	1.0	1.3670016744772357e-27	1.2084061848936972e-19	1.2225749120190487e-28	1.4074711441021475e-27	1.0699636695209452e-27	3.1847190694921404e-21	1.720229341580911e-30	2.0121356212356713e-21	8.223579803211398e-31
G001435935	2	2.0	1.0	5.526253109609994e-39	1.1798841169259983e-31	1.0	9.888497251407093e-34	7.113780472563912e-27	1.3358792207372545e-21	8.127531093083939e-44	2.238616335712825e-40	7.006492321624085e-45	8.942662205886292e-39	1.2611686178923354e-44	1.999685822289844e-36	5.0322919257153045e-37	2.8157674130161993e-33	3.1819730402854662e-37
G000375645	6	6.0	1.0	3.80107983256146e-15	3.075597030580081e-26	1.2910420475947605e-33	1.3198420797304409e-14	3.70339366317089e-23	7.622404241957794e-26	1.0	1.7971806947796855e-39	2.7431089531385398e-27	3.2405113728863882e-31	2.0866339811400586e-33	1.3301213804107435e-16	4.607545153246552e-14	9.362433524920815e-31	5.1414071127537665e-27
G000991935	0	0.0	1.0	1.0	8.277189769073829e-41	3.74407322814941e-32	9.90997872190215e-35	2.4627596302754368e-39	1.6574382815886978e-35	5.116140693249907e-42	1.8248148607249833e-30	3.141430897323375e-41	6.315761592096045e-37	5.3699447970060585e-28	1.53507497329083e-34	3.1496674504096454e-15	1.1072490279449032e-31	1.2153170690977497e-27
G000006985	11	11.0	1.0	3.2858347554523904e-23	6.572793251199099e-29	9.87141652267997e-28	1.5546680888607468e-21	1.216026974027754e-19	1.1979535683780624e-22	1.210095752993625e-17	2.476866227519402e-22	2.2702358618454213e-18	6.475114227352113e-14	2.649482855332508e-09	1.0	8.849826043532981e-21	2.6816742222880367e-25	3.8477894379680184e-17
G001598495	7	7.0	1.0	2.1400177934262256e-31	4.6827024922571485e-25	3.783505853677006e-44	1.8456234190197338e-35	7.335964656448486e-25	2.310962384315107e-33	3.82439551865825e-37	1.0	1.6729552846100498e-29	1.0231430414591282e-25	3.256289077897996e-14	8.312003642291461e-26	6.472819034294469e-36	7.704097741300529e-29	1.3534959706184525e-33
G000378725	3	3.0	1.0	8.762514464159238e-22	1.482433645409224e-40	4.631694807755316e-26	1.0	2.2967314326801237e-20	3.3730547679921973e-18	7.863833297759842e-24	8.912404518694605e-20	8.436940807359076e-34	2.357070547667707e-27	1.874792655783041e-15	1.6328404671092632e-17	1.9081416910657447e-22	1.0185944571536722e-25	2.656193665018236e-08
G001816835	12	12.0	1.0	9.58096232558936e-13	2.55254733907799e-15	6.38177132448286e-25	2.584507237203787e-31	6.211154959361856e-16	3.680260638980533e-20	1.0910146281140018e-31	6.969424680624175e-29	1.4144664781266835e-22	1.2050669480414937e-22	1.7016553097159992e-14	3.1829071408422723e-15	1.0	5.507142010379759e-25	1.6233893595105835e-15
G000999595	12	12.0	1.0	7.458929307535556e-13	1.112888064268069e-26	4.013621418302467e-23	9.20148992561511e-20	1.541441345224992e-12	2.4519481587752913e-19	5.153974576012871e-27	1.7830885826055277e-21	1.3275162727781786e-23	2.3723224928529725e-21	1.1767846210394435e-20	2.6814948915834802e-14	1.0	5.704078234917689e-28	8.413472284314605e-13
G000176095	9	9.0	1.0	5.3494815024574524e-27	7.517573833599056e-28	3.177362278907794e-23	4.056032344410829e-27	2.503193124756536e-17	1.0445202645523177e-12	2.6011792960981e-19	1.6600388829706942e-20	1.087588677971263e-12	1.0	4.157718440367386e-12	1.615087589594544e-15	1.4921825139982895e-19	1.327255624552287e-19	1.2349004511094772e-16
G000219585	9	9.0	1.0	1.1967428688263954e-30	1.5000851669713436e-29	3.6726770808267226e-33	2.3640973738345636e-32	2.5356722865285474e-21	1.1806287596834024e-28	1.0128753455955497e-39	2.641782364475722e-24	2.180038253050526e-23	1.0	4.354265840461582e-17	6.673497191163647e-22	2.6448827222631506e-28	4.8721769364711213e-32	6.765680961067563e-27
G000998065	0	0.0	1.0	1.0	7.3207515240682156e-34	4.90454462513686e-44	1.5109168639898234e-36	1.1619069526804548e-30	3.2094752602579365e-37	1.3698595205443108e-31	1.0640513737937104e-31	0.0	3.8302635184820685e-30	1.5974606664420484e-28	2.161589425414187e-37	1.1529124229790697e-24	5.241990783684774e-35	1.6202633565438332e-32
G001995415	8	8.0	1.0	6.4291993932761905e-40	7.805752687200318e-34	2.293803017366902e-31	3.5025683545833523e-33	9.159707408066139e-28	3.0599497780233918e-34	0.0	9.918457862313414e-26	1.0	2.0317306158478522e-17	6.433654683108087e-28	1.5119628028493704e-33	9.696907835270384e-33	6.424491030436059e-40	7.916050497632324e-32
G000010145	2	2.0	1.0	3.870446614299111e-39	1.3072357831087735e-28	1.0	4.189098197765847e-34	7.279764726446344e-25	1.2180988081381368e-17	2.802596928649634e-45	1.662616525587809e-37	3.6600514589699897e-41	1.2591519812463562e-37	1.0447731025389755e-39	3.240377815031999e-37	1.8250497538836364e-32	1.0434071069056992e-31	1.400130402909465e-33
G000523235	4	4.0	1.0	9.216902761327595e-37	6.761324353458963e-26	3.884438126960336e-32	2.5179532904613693e-23	1.0	2.7528550493997385e-29	2.0985257480581198e-35	1.4741474304225125e-24	1.3739156910334458e-39	1.3330021129945757e-15	3.1580282447539133e-23	2.721597923228097e-18	5.477303171377799e-34	2.1496325378797934e-30	8.633797356542431e-32
G001798005	10	10.0	1.0	3.1385971881644467e-30	1.757085678131591e-36	7.518336795260423e-31	4.196436200327056e-28	5.1234833942654786e-23	5.700141422239347e-13	1.3993430817725393e-29	2.764716972297841e-28	6.120871692170801e-42	2.3057340499288783e-31	1.0	2.618330357216647e-13	3.3480065400007593e-25	1.6915743146624417e-26	2.177586817393956e-15
G000286435	8	8.0	1.0	7.124481652320235e-41	2.6904541825333883e-26	2.7053453767085403e-34	1.1100388435083425e-26	1.1170162716315918e-29	6.005452808181507e-29	0.0	3.3692344788114656e-26	1.0	8.304568465557192e-23	9.879927631277191e-21	1.7324046653788751e-31	2.7171684162371643e-33	6.8955614994485556e-37	1.544892164871245e-33
G001482365	1	1.0	1.0	6.247728439549198e-38	1.0	3.978503250044903e-14	2.288892958655608e-29	3.403757631303961e-08	5.477867638819237e-19	6.596010124795831e-34	6.8145394310109755e-25	2.2420775429197073e-44	1.8912136195639157e-22	3.2600435981775753e-21	3.4783821331076104e-14	7.227171606382886e-38	5.590038515916128e-21	2.493854053263853e-31
G001604325	14	14.0	1.0	1.333101077296652e-19	1.3898875383944187e-09	1.2885428835041068e-10	9.244149127001378e-16	3.0442459664214994e-10	7.20628981834559e-12	4.110757290121114e-10	1.329931553833896e-19	1.904935356450143e-21	1.9396249810823586e-15	6.851290100363881e-18	4.1071886458532176e-15	4.586346493556936e-13	5.539248573716016e-11	1.0
G001897855	11	11.0	1.0	6.130680781421075e-42	1.2801173961164748e-38	5.530925038690053e-42	7.051484650731553e-25	4.1899548022489234e-22	2.5589409253748426e-24	6.4728289139315756e-18	1.3628723403378723e-35	2.203343012099712e-27	4.578387135189363e-23	5.868011263246156e-23	1.0	9.681012578734636e-26	5.764194873652463e-33	1.5978942895690272e-27
G001824255	0	0.0	1.0	1.0	6.625508461023776e-36	2.2701035122062037e-43	9.570617398653694e-37	1.3757904631854524e-27	4.046742904624828e-35	2.3889007454472954e-32	7.99649776778535e-35	7.39465199624206e-42	7.438109694463447e-26	3.719274803838812e-25	4.834691451174781e-22	8.441868019920724e-26	3.450511062072944e-36	3.903850444660403e-26
G000183325	4	4.0	1.0	1.6953161055125215e-39	1.849637110140634e-09	2.588000961876503e-15	4.8643548487570717e-26	1.0	6.001793111311756e-20	2.6282882781810334e-35	1.3169171536793662e-26	0.0	1.342381504567291e-22	6.764169084490803e-24	1.3784903515885118e-20	3.343558226348963e-29	2.4214457994276017e-08	8.374860930311236e-34
G000723745	11	11.0	1.0	9.012687770938648e-26	1.4382526800149414e-17	1.0479107569237422e-23	1.1655456852495382e-25	1.681658508437732e-20	4.080261128969198e-10	7.861485795617324e-26	3.660670433291735e-21	4.6719776854302114e-33	8.623270795621377e-23	1.1368265703803893e-11	1.0	8.398358347389452e-23	1.0047706032014514e-18	9.786108758741939e-15
G001263355	3	3.0	1.0	4.980691151696895e-21	1.6480689294438194e-28	2.5812878446046864e-14	1.0	4.564255223771241e-11	1.061257071804933e-11	5.418055327305327e-12	2.5797128715425617e-14	1.091622922257281e-15	4.7241099920825036e-11	4.897627789435255e-11	3.656255833305814e-16	4.5392181314725185e-18	3.972921980548855e-14	3.705507775619843e-11
